Province,District,Long,Lat,Ele,River ,Flat,"Main OCC
Farming
0:No
1:Yes","Second OCC
Farming
0:No
1:Yes","Migration
BackG
0:No
1:Yes","Literate
0:no
1:yes","Gender 
0:F
1:M",Age,"Work on
farm","Work off
farm"," Not
 employed   ","Female
 work
on farm","Importance
of farming
0:not atll Impornt
1:importnt
2:Very impornt","Crop Net
Income",t4,r4
1,4,67.01451,34.386404,3183.802002,1,0,1,1,0,1,1,50,1,2,7,1,2,52770,1.46992775,44.35088925
1,4,67.159132,34.381342,3198.928955,1,1,1,1,1,1,1,43,1,17,0,4,2,311040,1.3766615,37.2493495
1,4,67.060897,34.462717,3243.162109,1,1,1,1,0,0,1,29,1,2,5,2,1,29490,1.04683475,43.42155175
1,4,67.143617,34.375118,3190.596436,1,0,1,1,1,0,1,80,1,0,7,5,2,39500,1.38553275,37.45453525
1,4,67.178923,34.383522,3204.07959,1,1,1,1,0,0,1,45,1,0,8,0,1,15500,1.294154,37.32939525
1,4,67.182237,34.389582,3204.081787,1,1,1,1,1,1,1,28,1,0,5,1,2,-1500,1.287605,37.10487475
1,4,67.054307,34.463045,3261.262451,1,1,1,1,0,1,1,33,2,1,10,0,0,81300,1.05531525,44.61708275
1,4,66.993301,34.432931,3232.477783,1,1,0,1,0,1,1,54,2,1,5,2,2,-3900,1.18165125,47.356803
1,4,66.998083,34.38958,3182.177979,1,1,1,1,0,0,1,36,3,0,4,1,2,5500,1.475293,45.0885315
1,4,66.999518,34.388482,3182.177979,1,0,1,0,1,1,1,50,2,1,5,4,2,45950,1.475293,45.0885315
1,4,67.027792,34.468087,3263.880127,0,0,1,1,1,0,1,56,0,0,8,3,2,73800,1.068089,46.61184575
1,4,66.955789,34.38038,3166.515381,1,1,1,1,0,1,1,40,2,0,6,1,2,95330,1.5756765,46.46289075
1,4,67.070015,34.46219,3242.224121,0,0,1,1,1,0,1,56,2,0,8,1,1,18900,1.037481,42.6714535
1,4,67.05453,34.463222,3243.162109,1,0,1,0,0,0,1,34,2,2,4,0,0,45640,1.04683475,43.42155175
1,4,67.022179,34.391895,3185.346436,1,1,1,0,0,1,1,52,3,0,10,5,2,142150,1.46165025,43.5940235
1,4,67.010482,34.417167,3202.156982,1,1,0,1,1,1,1,55,4,1,2,2,2,159970,1.3167275,45.33848675
1,4,66.984619,34.354037,3150.788818,1,1,1,1,1,1,1,21,1,0,6,2,1,8000,1.7662865,43.9723435
1,4,67.178938,34.383123,3204.07959,1,1,1,1,0,0,1,65,1,8,0,3,1,89630,1.294154,37.32939525
1,4,67.023274,34.387948,3185.346436,1,0,1,1,1,1,1,52,1,0,8,2,2,125000,1.46165025,43.5940235
1,4,67.177952,34.382504,3199.28418,1,1,1,0,0,0,1,80,0,12,0,0,0,119000,1.3674365,37.00553425
1,4,67.171641,34.382989,3204.07959,1,0,1,1,1,0,1,46,1,6,0,0,0,79600,1.294154,37.32939525
1,4,67.012526,34.409292,3202.156982,1,0,1,1,0,1,1,40,1,0,7,0,0,5550,1.3167275,45.33848675
1,4,67.029423,34.404117,3194.324219,1,0,1,1,0,0,1,48,1,1,8,0,0,26500,1.38408125,44.0605935
1,4,67.171743,34.382758,3204.07959,1,1,1,1,0,0,1,30,1,0,7,2,2,12100,1.294154,37.32939525
1,4,67.018385,34.4033333,3194.324219,1,1,1,0,0,0,1,40,3,2,2,2,2,97030,1.38408125,44.0605935
1,4,67.073714,34.354421,3166.28833,1,0,1,1,0,1,1,50,1,0,4,3,1,261200,1.650606,39.566414
1,4,67.127115,34.350437,3173.264404,1,0,1,1,1,0,1,50,2,0,5,2,2,47450,1.58986325,37.61469175
1,4,67.127813,34.376162,3191.002197,0,0,1,1,1,0,1,42,1,8,0,0,0,152550,1.41264825,38.1649275
1,4,67.182616,34.389016,3204.081787,1,1,1,0,1,1,1,35,2,10,0,6,2,105260,1.287605,37.10487475
1,4,67.026047,34.39253,3185.346436,1,1,1,1,0,1,1,35,1,0,8,1,1,138700,1.46165025,43.5940235
1,4,67.188362,34.401007,3208.609619,1,1,0,1,0,1,1,24,2,6,0,2,2,152650,1.22557075,37.372281
1,4,67.127119,34.349751,3173.264404,1,0,1,0,1,1,1,31,1,5,0,1,2,55250,1.58986325,37.61469175
1,4,67.029482,34.404167,3194.324219,1,1,1,1,0,0,1,56,3,2,6,5,2,-100,1.38408125,44.0605935
1,4,67.178142,34.382563,3199.28418,1,0,1,0,1,1,1,35,3,3,0,0,0,73500,1.3674365,37.00553425
1,4,67.177903,34.382403,3199.28418,1,1,1,1,0,1,1,19,2,0,4,5,2,10100,1.3674365,37.00553425
